,RMSE
"(0, 0, 0)",0.0655727403486086
"(0, 0, 1)",0.06553341528394156
"(0, 0, 2)",0.06550382815538215
"(0, 0, 3)",0.06544013030005985
"(0, 0, 4)",0.06557452988705577
"(0, 0, 5)",0.06533106534375273
"(0, 0, 6)",0.0656596891543049
"(0, 0, 7)",0.06544398200091885
"(0, 1, 0)",0.04225355482665312
"(0, 1, 1)",0.043150459157056745
"(0, 1, 2)",0.043161012105064185
"(0, 1, 3)",0.043554617810382876
"(0, 1, 4)",0.043607191695102646
"(0, 1, 5)",0.04346197902194973
"(0, 1, 6)",0.043637993244048996
"(0, 1, 7)",0.04357026143519041
"(0, 2, 0)",2.0643337749736723
"(0, 2, 1)",0.04767454251401281
"(0, 2, 2)",0.04323620811844095
"(0, 2, 3)",0.043208799383928416
"(0, 2, 4)",0.042080384767748495
"(0, 2, 5)",0.04285043105228576
"(0, 2, 6)",0.04363299151858268
"(0, 2, 7)",0.041696847955265876
"(1, 0, 0)",0.04841013006136842
"(1, 0, 1)",0.05197860790162326
"(1, 0, 2)",0.051864284344201615
"(1, 0, 3)",0.05316421209949078
"(1, 0, 4)",0.05323350892415881
"(1, 0, 5)",0.053237640148254606
"(1, 0, 6)",0.053406864890023456
"(1, 0, 7)",0.05295619111450833
"(1, 1, 0)",0.043738468494261766
"(1, 1, 1)",0.043258487050971024
"(1, 1, 2)",0.04327080495281456
"(1, 1, 3)",0.043544722834388
"(1, 1, 4)",0.043587601525800344
"(1, 1, 5)",0.04348549841979036
"(1, 1, 6)",0.04353088147682247
"(1, 1, 7)",0.04309357645961362
"(1, 2, 0)",1.970994055397823
"(1, 2, 1)",0.04361222993629604
"(1, 2, 2)",0.042406002267870266
"(1, 2, 3)",0.04292418866073763
"(1, 2, 4)",0.04054731632876516
"(1, 2, 5)",0.041781605794664126
"(1, 2, 6)",0.04988836305704983
"(1, 2, 7)",0.04059890052504499
"(2, 0, 0)",0.053297918060388444
"(2, 0, 1)",0.052195199001640415
"(2, 0, 2)",0.052331681348999
"(2, 0, 3)",0.05317840915715603
"(2, 0, 4)",0.05326432282954456
"(2, 0, 5)",0.05323826760197615
"(2, 0, 6)",0.053861257051272995
"(2, 0, 7)",0.052865660558157654
"(2, 1, 0)",0.0432334247474515
"(2, 1, 1)",0.0437427693394867
"(2, 1, 2)",0.04364248892698584
"(2, 1, 3)",0.043509798888451114
"(2, 1, 4)",0.04345988424916154
"(2, 1, 5)",0.04348514697961776
"(2, 1, 6)",0.043528284201555446
"(2, 1, 7)",0.04308869497970276
"(2, 2, 0)",1.7137578994111595
"(2, 2, 1)",0.041321134055135884
"(2, 2, 2)",0.04362233859754675
"(2, 2, 3)",0.043024948740440556
"(2, 2, 4)",0.0613550134468311
"(2, 2, 5)",0.04304718280753422
"(2, 2, 6)",0.04691514985866842
"(2, 2, 7)",0.04056856410259332
"(3, 0, 0)",0.05231693245732061
"(3, 0, 1)",0.052227756498019196
"(3, 0, 2)",0.05288076085187779
"(3, 0, 3)",0.05314509792071477
"(3, 0, 4)",0.05302373760300868
"(3, 0, 5)",0.05351097979515829
"(3, 0, 6)",0.051211140381839285
"(3, 0, 7)",0.05289766830373971
"(3, 1, 0)",0.04378745546155974
"(3, 1, 1)",0.043715563088268676
"(3, 1, 2)",0.0435889769436943
"(3, 1, 3)",0.04352594543865327
"(3, 1, 4)",0.04341922921155906
"(3, 1, 5)",0.04351153447866506
"(3, 1, 6)",0.043532191851734486
"(3, 1, 7)",0.0431281359905586
"(3, 2, 0)",1.5595822528397894
"(3, 2, 1)",0.04276705308292151
"(3, 2, 2)",0.04256271191795264
"(3, 2, 3)",0.04312044521327779
"(3, 2, 4)",0.19944794132988966
"(3, 2, 5)",0.0405653021211393
"(3, 2, 6)",0.041375112153776976
"(3, 2, 7)",0.0408772348355943
"(4, 0, 0)",0.053508178889797635
"(4, 0, 1)",0.052797106898800024
"(4, 0, 2)",0.05289229734665613
"(4, 0, 3)",0.04231275795392637
"(4, 0, 4)",0.05332449590643143
"(4, 0, 5)",0.051230466507906296
"(4, 0, 6)",0.052074629885930236
"(4, 0, 7)",0.053073798014676814
"(4, 1, 0)",0.04345948731016845
"(4, 1, 1)",0.04353905875986618
"(4, 1, 2)",0.04351915797146772
"(4, 1, 3)",0.04354239271803222
"(4, 1, 4)",0.04334442591290943
"(4, 1, 5)",0.04348396844563485
"(4, 1, 6)",0.04331199061066555
"(4, 1, 7)",0.04319250557691774
"(4, 2, 0)",1.5498984208121955
"(4, 2, 1)",0.04058346283991821
"(4, 2, 2)",0.04172431104418403
"(4, 2, 3)",0.0738344337157217
"(4, 2, 4)",0.04294596290115605
"(4, 2, 5)",0.042827746562389794
"(4, 2, 6)",0.04330711598683891
"(4, 2, 7)",0.15071983315055143
"(5, 0, 0)",0.05236313650464127
"(5, 0, 1)",0.05134200146661883
"(5, 0, 2)",0.05307599382919419
"(5, 0, 3)",0.05281019615794006
"(5, 0, 4)",0.053324941050023535
"(5, 0, 5)",0.051389363783795425
"(5, 0, 6)",0.05011051828394055
"(5, 0, 7)",0.05190507541008503
"(5, 1, 0)",0.04355810945446566
"(5, 1, 1)",0.04355287144593924
"(5, 1, 2)",0.043487408583059425
"(5, 1, 3)",0.04354042474775796
"(5, 1, 4)",0.04359406653325368
"(5, 1, 5)",0.04371998790937074
"(5, 1, 6)",0.04333247220730575
"(5, 1, 7)",0.043330007828237545
"(5, 2, 0)",1.434680135669635
"(5, 2, 1)",0.3017404681189109
"(5, 2, 2)",0.6416623338851669
"(5, 2, 3)",0.041314016157366774
"(5, 2, 4)",0.04284466316729045
"(5, 2, 5)",0.04257090293983783
"(5, 2, 6)",0.04367414565100108
"(5, 2, 7)",0.043685119159724325
"(6, 0, 0)",0.05244783034579191
"(6, 0, 1)",0.052579201084554904
"(6, 0, 2)",0.05261061911972015
"(6, 0, 3)",0.04977434655983762
"(6, 0, 4)",0.052518794241556345
"(6, 0, 5)",0.052367045818208155
"(6, 0, 6)",0.05058148977828052
"(6, 0, 7)",0.04665936624920892
"(6, 1, 0)",0.0435342029156234
"(6, 1, 1)",0.043575768822846174
"(6, 1, 2)",0.04355628264942717
"(6, 1, 3)",0.04357006988583468
"(6, 1, 4)",0.04361754124204066
"(6, 1, 5)",0.04357894240607874
"(6, 1, 6)",0.04327078692796678
"(6, 1, 7)",0.04328331059550642
"(6, 2, 0)",1.3284639105556528
"(6, 2, 1)",0.15524425846479337
"(6, 2, 2)",0.04159297341040956
"(6, 2, 3)",0.12512254131737846
"(6, 2, 4)",0.1894133431757515
"(6, 2, 5)",0.041898690048605074
"(6, 2, 6)",0.04061798291107844
"(6, 2, 7)",0.043135346992393846
"(7, 0, 0)",0.05270914790562152
"(7, 0, 1)",0.05277901747682781
"(7, 0, 2)",0.0530240858930362
"(7, 0, 3)",0.0520942987303613
"(7, 0, 4)",0.05314669998604512
"(7, 0, 5)",0.05115551610700388
"(7, 0, 6)",0.05332365334795805
"(7, 0, 7)",0.054747159504816394
"(7, 1, 0)",0.04321964699518451
"(7, 1, 1)",0.043291022614953344
"(7, 1, 2)",0.04328156385612592
"(7, 1, 3)",0.043414224796331814
"(7, 1, 4)",0.04329251187199288
"(7, 1, 5)",0.04330471454217303
"(7, 1, 6)",0.04315267763792781
"(7, 1, 7)",0.04264335479335539
"(7, 2, 0)",1.2368961027098764
"(7, 2, 1)",0.8871550650869643
"(7, 2, 2)",0.04202153816666008
"(7, 2, 3)",0.5483682868024996
"(7, 2, 4)",0.04542850603048733
"(7, 2, 5)",0.04177497810975421
"(7, 2, 6)",0.04304714991735139
"(7, 2, 7)",0.04991429132774519
